version,ver_env,lid,magnitude,huc,benchmark_source,extent_config,calibrated,false_negatives_count,false_positives_count,true_negatives_count,true_positives_count,ACC,Bal_ACC,CSI,EQUITABLE_THREAT_SCORE,F1_SCORE,FAR,PND,FALSE_OMISSION_RATE,FALSE_POSITIVE_RATE,FOWLKES_MALLOW_INDEX,MCC,NEGATIVE_LIKELIHOOD_RATIO,NPV,BIAS,POSITIVE_LIKELIHOOD_RATIO,PPV,PREVALENCE,PREVALENCE_THRESHOLD,TNR,TPR,contingency_tot_count,TP_perc,FP_perc,TN_perc,FN_perc,cell_area_m2,TP_area_km2,FP_area_km2,TN_area_km2,FN_area_km2,contingency_tot_area_km2,predPositive_area_km2,predNegative_area_km2,obsPositive_area_km2,obsNegative_area_km2,positiveDiff_area_km2,masked_count,masked_perc,masked_area_km2,predPositive_perc,predNegative_perc,obsPositive_perc,obsNegative_perc,positiveDiff_perc
fim_4_5_2_0,dev,crar1,moderate,01090004,usgs,GMS,True,02734.00,03106.00,043798.00,018676.00,00.09145123986298562,00.090304114865324,00.07617882199379997,00.06698587123796521,00.08647897758844231,00.01425948030483886,00.01276973376926669,00.0058755265193845,00.00662203650008528,00.08648218521620703,00.08023575086798677,00.01367531834133259,00.09412447348061548,01.00173750583839327,013.0172725071752462,00.08574051969516114,00.03134057440641742,00.02160095525000624,00.09337796349991472,00.0872302662307333,068314.00,027.0338466492958982,04.0546652223555933,064.011277337002664,04.0002107913458442,0100.00,01.08676,00.03106,04.03798,00.02734,06.08314,02.01782,04.06532,02.0141,04.06904,00.00371999999999999,064.00,00.00935973558746965,00.00064,031.088511871651492,068.011488128348509,031.0340574406417428,068.065942559358258,00.05445443100974892
fim_4_5_2_0,dev,crar1,major,01090004,usgs,GMS,True,04604.00,02435.00,037461.00,023814.00,00.08969610914307462,00.08884781593731428,00.07718536284964185,00.06468786216325408,00.08712385900085975,00.00927654386833784,00.01620099936659863,00.01094496612385593,00.0061033687587728,00.08719251663899557,00.07873017332103521,00.01725407946210242,00.08905503387614406,00.09236751354775142,013.0729958641766656,00.09072345613166216,00.04159908657083467,00.02125219694780434,00.0938966312412272,00.08379900063340137,068314.00,034.085961881898293,03.05644231050736304,054.083649032409169,06.0739467751851744,0100.00,02.03814,00.02435,03.07461,00.04604,06.08314,02.06249,04.02065,02.08418,03.09896,-00.02169000000000003,064.00,00.00935973558746965,00.00064,038.042404192405656,061.057595807594344,041.059908657083468,058.040091342916532,-03.0175044646778119
fim_4_5_2_0,dev,crar1,action,01090004,usgs,GMS,True,0842.00,04173.00,051966.00,011333.00,00.09265889861521796,00.09282542689853904,00.06932346464399315,00.06308293291148751,00.08188287995375889,00.02691216303366439,00.00691581108829568,00.00159445538554764,00.00743333511462619,00.08248225277792933,00.07825259850787569,00.00747116804614231,00.09840554461445236,01.02735934291581108,012.0522533624045456,00.07308783696633562,00.01782211552536815,00.02203264741555882,00.0925666648853738,00.09308418891170432,068314.00,016.0589571683695876,06.0108557543109757,076.006932693152208,01.0232543841672278,0100.00,01.01333,00.04173,05.01966,00.00842,06.08314,01.05506,05.02808,01.02175,05.06139,00.03330999999999999,064.00,00.00935973558746965,00.00064,022.069812922680564,077.030187077319437,017.0822115525368154,082.017788447463185,04.0876013701437479
fim_4_5_2_0,dev,crar1,minor,01090004,usgs,GMS,True,01296.00,03898.00,049776.00,013344.00,00.09239687326170332,00.09194258965937044,00.07198187506742907,00.06500698258907645,00.08370867574179788,00.02260758612689943,00.00885245901639344,00.0025375939849624,00.00726236166486567,00.08398885768552085,00.07924146634930807,00.00954570245190255,00.0974624060150376,01.01777322404371584,012.055067499936916,00.07739241387310056,00.02143045349415932,00.02201337311126851,00.09273763833513432,00.09114754098360656,068314.00,019.0533331381561613,05.0706004625698978,072.08635418801417,01.0897122112597711,0100.00,01.03344,00.03898,04.09776,00.01296,06.08314,01.07242,05.01072,01.0464,05.03674,00.02602,064.00,00.00935973558746965,00.00064,025.02393360072606,074.076066399273941,021.0430453494159323,078.056954650584068,03.08088825131012713
fim_4_5_2_0,dev,,500yr,11090202,ble,GMS,True,2021023.0,1016440.0,36810191.0,7261870.0,0.9355233773960442,0.8777071024812052,0.7050815814965882,0.6495814059631918,0.8270355965932402,0.1227835149927944,0.2177147792180735,0.0520463511648129,0.0268710158195161,0.8283921122556681,0.7895221596733538,0.223726538575378,0.9479536488351872,0.8917812582779959,29.11260318687917,0.8772164850072056,0.197049178420907,0.1563572605571644,0.973128984180484,0.7822852207819265,47109524.0,15.414866004589644,2.15761042289453,78.13747173501477,4.290051837501054,9.0,65.35683,9.14796,331.291719,18.189207,423.985716,74.50479,349.480926,83.546037,340.439679,-9.041246999999998,53284.0,0.1129788540156472,0.479556,17.572476427484172,82.42752357251582,19.7049178420907,80.2950821579093,-2.1324414146065287
fim_4_5_2_0,dev,,100yr,11090202,ble,GMS,True,2088400.0,945185.0,37829136.0,6246803.0,0.935605696206992,0.8625358212553799,0.6731187316737188,0.6211755861872101,0.8046275723664377,0.1314219378564035,0.2505517862012479,0.0523178584970775,0.0243765712879923,0.8068173753820005,0.7693160121654486,0.2568119817827866,0.9476821415029224,0.8628449721020591,30.74461149373873,0.8685780621435965,0.1769324393937837,0.1527934687473412,0.9756234287120076,0.7494482137987521,47109524.0,13.26017006667272,2.006356506595142,80.30039955402648,4.433073872705655,9.0,56.221227,8.506665,340.462224,18.7956,423.985716,64.727892,359.257824,75.016827,348.968889,-10.28893500000001,53284.0,0.1129788540156472,0.479556,15.26652657326786,84.73347342673215,17.693243939378373,82.30675606062162,-2.4267173661105126
fim_4_5_2_0,dev,crar1,moderate,01090004,nws,GMS,True,02672.00,03179.00,043725.00,018738.00,00.0914351377462892,00.09037108849558296,00.07620480702753264,00.06698097346413833,00.08649571860502688,00.01450472236163708,00.01248014946286781,00.00575899303834299,00.00677767354596622,00.08650164114362305,00.08023765452574488,00.01338751127287255,00.094241006961657,01.00236805231200374,012.0912963414890369,00.08549527763836291,00.03134057440641742,00.02177007611221192,00.09322232645403375,00.08751985053713218,068314.00,027.0429223877975232,04.0653511725268612,064.000591386831395,03.09113505284421937,0100.00,01.08738,00.03179,04.03725,00.02672,06.08314,02.01917,04.06397,02.0141,04.06904,00.00506999999999999,064.00,00.00935973558746965,00.00064,032.008273560324385,067.091726439675617,031.0340574406417428,068.065942559358258,00.07421611968264195
fim_4_5_2_0,dev,crar1,major,01090004,nws,GMS,True,04563.00,02461.00,037435.00,023855.00,00.0897180665749334,00.08888736859475992,00.07725314938955277,00.06475980340352219,00.08716702598019512,00.00935172518619851,00.01605672461116194,00.01086480308586123,00.00616853819931822,00.08723137678735795,00.0787727017799189,00.01711230359521615,00.08913519691413877,00.09260327961151384,013.0608293030934917,00.09064827481380148,00.04159908657083467,00.02132677267920797,00.09383146180068176,00.08394327538883806,068314.00,034.09196357993969,03.0602482653628832,054.079843077553649,06.0679450771437772,0100.00,02.03855,00.02461,03.07435,00.04563,06.08314,02.06316,04.01998,02.08418,03.09896,-00.02101999999999999,064.00,00.00935973558746965,00.00064,038.052211845302573,061.047788154697427,041.059908657083468,058.040091342916532,-03.00769681178089456
fim_4_5_2_0,dev,crar1,action,01090004,nws,GMS,True,0831.00,04230.00,051909.00,011344.00,00.09259156249085106,00.09281983458994948,00.06914964949710454,00.06286699310128482,00.08176150491909618,00.0271606523693335,00.00682546201232032,00.00157565415244596,00.00753486880778068,00.08238187035271377,00.07812169438774694,00.00738166044249842,00.09842434584755404,01.02791786447638605,012.0365781059315246,00.0728393476306665,00.01782211552536815,00.02214103227429254,00.09246513119221932,00.09317453798767968,068314.00,016.0605673800392307,06.0191995784173083,075.098588869045876,01.02164417249758468,0100.00,01.01344,00.0423,05.01909,00.00831,06.08314,01.05574,05.0274,01.02175,05.06139,00.03398999999999998,064.00,00.00935973558746965,00.00064,022.0797669584565387,077.02023304154346,017.0822115525368154,082.017788447463185,04.0975554059197233
fim_4_5_2_0,dev,crar1,minor,01090004,nws,GMS,True,01276.00,03952.00,049722.00,013364.00,00.09234710308282345,00.09196059198508868,00.07188037865748709,00.06486819481796419,00.08364000500688447,00.02282282282282282,00.00871584699453551,00.00250205890427075,00.0073629690352871,00.0839348154818445,00.07916327645174456,00.00940859924348778,00.09749794109572923,01.01827868852459016,012.0397736914006328,00.07717717717717718,00.02143045349415932,00.02211879463503747,00.0926370309647129,00.09128415300546447,068314.00,019.0562607957373302,05.0785051380390549,072.078449512545014,01.08678455367860176,0100.00,01.03364,00.03952,04.09722,00.01276,06.08314,01.07316,05.00998,01.0464,05.03674,00.02676,064.00,00.00935973558746965,00.00064,025.034765933776385,074.065234066223616,021.0430453494159323,078.056954650584068,03.0917205843604531
fim_4_5_2_0,dev,wstr1,moderate,01090005,usgs,GMS,False,01225.00,01501.00,09653.00,07533.00,00.08630976295701085,00.08627786627154239,00.07342820937713227,00.05663053372234311,00.0846785071942446,00.0166150099623644,00.01398721169216716,00.01126126126126126,00.01345705576474807,00.08468869757032458,00.07233940817499548,00.01616216297673599,00.08873873873873874,01.0031514044302352,06.0391649838677998,00.0833849900376356,00.04398352752109281,00.02834329545987892,00.08654294423525193,00.08601278830783284,019912.00,037.083145841703495,07.0538167938931298,048.0478304539975895,06.0152069104057854,0100.00,00.07533,00.01501,00.09653,00.01225,01.09912,00.09034,01.00878,00.08758,01.01154,00.00275999999999999,00.00,00.00,00.00,045.0369626355966254,054.063037364403375,043.098352752109281,056.001647247890719,01.03860988348734438
fim_4_5_2_0,dev,wstr1,major,01090005,usgs,GMS,False,02179.00,0754.00,06810.00,010169.00,00.08527018883085576,00.08619257340064277,00.07761410471683713,00.05365290101993638,00.08739633019638177,00.00690286551313741,00.01764658244250081,00.02424073868060963,00.00996827075621364,00.0875606486374059,00.07059872745767478,00.01960040375845464,00.07575926131939037,00.08845966958211856,08.0261555045158142,00.0930971344868626,00.06201285656890317,00.02581116693267131,00.09003172924378635,00.08235341755749919,019912.00,051.00697067095219,03.0786661309762957,034.020048212133387,010.0943149859381275,0100.00,01.00169,00.00754,00.0681,00.02179,01.09912,01.00923,00.08989,01.02348,00.07564,-00.01424999999999998,00.00,00.00,00.00,054.085636801928485,045.014363198071515,062.0012856568903175,037.0987143431096825,-07.0156488549618324
fim_4_5_2_0,dev,wstr1,action,01090005,usgs,GMS,False,0670.00,01441.00,014647.00,03154.00,00.08939835275210928,00.08676104646203204,00.05990503323836657,00.0518317317058078,00.07492576315476898,00.03136017410228509,00.01752092050209205,00.004374224717634,00.00895698657384385,00.07524194081056249,00.06873820991110222,00.01924466232249995,00.095625775282366,01.0201621338912134,09.0208351359905226,00.06863982589771491,00.01920449979911611,00.02478605577472524,00.09104301342615614,00.08247907949790795,019912.00,015.0839694656488549,07.0236842105263158,073.055865809562073,03.0364805142627561,0100.00,00.03154,00.01441,01.04647,00.0067,01.09912,00.04595,01.05317,00.03824,01.06088,00.00771,00.00,00.00,00.00,023.0076536761751708,076.092346323824829,019.020449979911611,080.079550020088388,03.08720369626355975
fim_4_5_2_0,dev,wstr1,minor,01090005,usgs,GMS,False,0634.00,01697.00,012819.00,04762.00,00.08829349136199277,00.08828000380347669,00.06713661356266741,00.0563700503723093,00.08033741037536904,00.02627341693760644,00.01174944403261675,00.00471270348621125,00.01169054836042987,00.0806623328749652,00.07268908546224723,00.01330485447987087,00.09528729651378874,01.0196997776130467,07.0548880792118652,00.07372658306239356,00.02709923664122137,00.02668429492006297,00.08830945163957012,00.08825055596738325,019912.00,023.0915226998794697,08.0522498995580555,064.037826436319807,03.01840096424266773,0100.00,00.04762,00.01697,01.02819,00.00634,01.09912,00.06459,01.03453,00.05396,01.04516,00.01063,00.00,00.00,00.00,032.043772599437525,067.056227400562474,027.009923664122137,072.090076335877863,05.0338489353153875
fim_4_5_2_0,dev,,500yr,11090203,ble,GMS,False,1290308.0,266914.0,21019165.0,2245602.0,0.937264415031366,0.8112726171787519,0.5905090532719894,0.5479649532652916,0.7425409519765969,0.1062337513472551,0.3649153966022891,0.0578367763326368,0.0125393690402069,0.7534037321090786,0.7213902614063115,0.3695493118015229,0.9421632236673632,0.7105712532275991,50.64725357084058,0.8937662486527449,0.1424507117459443,0.123202955756413,0.987460630959793,0.6350846033977109,24821989.0,9.046825377289466,1.075312699558444,84.67961612584712,5.1982457973049625,9.0,20.210418,2.402226,189.172485,11.612772,223.397901,22.612644,200.785257,31.82319,191.574711,-9.210546,338144.0,1.34396745835962,3.043296,10.12213807684791,89.8778619231521,14.245071174594427,85.75492882540557,-4.122933097746518
fim_4_5_2_0,dev,,100yr,11090203,ble,GMS,False,1190187.0,279063.0,21457353.0,1895386.0,0.9408085306942968,0.8007175438319619,0.5633257208209149,0.5251806147456248,0.7206760732179447,0.1283373397122673,0.385726411269479,0.0525525951162907,0.0128385010665971,0.7317372140989814,0.7018842738320816,0.3907429652455493,0.9474474048837092,0.7047148130995442,47.84620771101693,0.8716626602877326,0.1243080479972817,0.1263089503371894,0.9871614989334028,0.6142735887305211,24821989.0,7.635915075137613,1.1242572059797464,86.44493799429208,4.794889724590563,9.0,17.058474,2.511567,193.116177,10.711683,223.397901,19.570041,203.82786,27.770157,195.627744,-8.200116000000001,338144.0,1.34396745835962,3.043296,8.76017228111736,91.23982771888264,12.430804799728175,87.56919520027182,-3.670632518610816
fim_4_5_2_0,dev,wstr1,moderate,01090005,nws,GMS,False,01228.00,01491.00,09663.00,07530.00,00.08634491763760547,00.08630556604145586,00.07347058249585325,00.05671241012289144,00.0847066764159964,00.0165281010974393,00.01402146608814798,00.01127536498025893,00.01336740182894029,00.0847159459044193,00.07240353624347826,00.01618497699960701,00.08872463501974107,01.0030029687143183,06.043195551477396,00.08347189890256069,00.04398352752109281,00.02827950308142171,00.0866325981710597,00.08597853391185202,019912.00,037.081639212535154,07.0487946966653275,048.052852551225392,06.0167135395741261,0100.00,00.0753,00.01491,00.09663,00.01228,01.09912,00.09021,01.00891,00.08758,01.01154,00.00262999999999999,00.00,00.00,00.00,045.030433909200482,054.069566090799518,043.098352752109281,056.001647247890719,01.03208115709120063
fim_4_5_2_0,dev,wstr1,major,01090005,nws,GMS,False,02191.00,0748.00,06816.00,010157.00,00.08524005624748895,00.08618364409045833,00.07755803298717165,00.05359594328281774,00.08736077065324904,00.00685923888124713,00.0177437641723356,00.02432552459198401,00.00988894764674775,00.08752947167527227,00.07056891704547139,00.01969099650814942,00.07567447540801598,00.08831389698736638,08.0317996895727989,00.09314076111875288,00.06201285656890317,00.02574603133324976,00.09011105235325224,00.0822562358276644,019912.00,051.000944154278827,03.0756528726396143,034.0230614704700685,011.0003415026114906,0100.00,01.00157,00.00748,00.06816,00.02191,01.09912,01.00905,00.09007,01.02348,00.07564,-00.01442999999999998,00.00,00.00,00.00,054.0765970269184415,045.023402973081559,062.0012856568903175,037.0987143431096825,-07.024688629971876
fim_4_5_2_0,dev,wstr1,action,01090005,nws,GMS,False,0718.00,01327.00,014761.00,03106.00,00.08972981116914424,00.08648773274188615,00.06029897107357794,00.05243814979912379,00.0752331355213758,00.02993458154748477,00.01877615062761506,00.00463854254150784,00.00824838388861263,00.07543860414005694,00.06909816730387842,00.02046410888808828,00.09536145745849216,01.01592573221757323,09.0847244074626442,00.07006541845251523,00.01920449979911611,00.02416607772009039,00.09175161611138736,00.08122384937238494,019912.00,015.0598633989554036,06.0664323021293692,074.01311771795902,03.06058658095620735,0100.00,00.03106,00.01327,01.04761,00.00718,01.09912,00.04433,01.05479,00.03824,01.06088,00.00609,00.00,00.00,00.00,022.026295701084773,077.073704298915227,019.020449979911611,080.079550020088388,03.00584572117316213
fim_4_5_2_0,dev,wstr1,minor,01090005,nws,GMS,False,0690.00,01481.00,013035.00,04706.00,00.08909702691844114,00.08850510752583842,00.06843100189035917,00.0582529723001225,00.08125701459034792,00.02393728786164538,00.01278724981467754,00.00502732240437158,00.01020253513364563,00.08144715042369755,00.07396249481793938,00.01424010113616104,00.09497267759562842,01.0146590066716086,08.054814504854923,00.07606271213835462,00.02709923664122137,00.02548601124989327,00.08979746486635437,00.08721275018532246,019912.00,023.0633989554037765,07.0437725994375251,065.046303736440338,03.0465247087183608,0100.00,00.04706,00.01481,01.03035,00.0069,01.09912,00.06187,01.03725,00.05396,01.04516,00.00791,00.00,00.00,00.00,031.007171554841301,068.092828445158699,027.009923664122137,072.090076335877863,03.097247890719164
fim_4_5_2_0,dev,crar1,moderate,01090004,usgs,GMS,False,02734.00,03106.00,043798.00,018676.00,00.09145123986298562,00.090304114865324,00.07617882199379997,00.06698587123796521,00.08647897758844231,00.01425948030483886,00.01276973376926669,00.0058755265193845,00.00662203650008528,00.08648218521620703,00.08023575086798677,00.01367531834133259,00.09412447348061548,01.00173750583839327,013.0172725071752462,00.08574051969516114,00.03134057440641742,00.02160095525000624,00.09337796349991472,00.0872302662307333,068314.00,027.0338466492958982,04.0546652223555933,064.011277337002664,04.0002107913458442,0100.00,01.08676,00.03106,04.03798,00.02734,06.08314,02.01782,04.06532,02.0141,04.06904,00.00371999999999999,064.00,00.00935973558746965,00.00064,031.088511871651492,068.011488128348509,031.0340574406417428,068.065942559358258,00.05445443100974892
fim_4_5_2_0,dev,crar1,major,01090004,usgs,GMS,False,04604.00,02435.00,037461.00,023814.00,00.08969610914307462,00.08884781593731428,00.07718536284964185,00.06468786216325408,00.08712385900085975,00.00927654386833784,00.01620099936659863,00.01094496612385593,00.0061033687587728,00.08719251663899557,00.07873017332103521,00.01725407946210242,00.08905503387614406,00.09236751354775142,013.0729958641766656,00.09072345613166216,00.04159908657083467,00.02125219694780434,00.0938966312412272,00.08379900063340137,068314.00,034.085961881898293,03.05644231050736304,054.083649032409169,06.0739467751851744,0100.00,02.03814,00.02435,03.07461,00.04604,06.08314,02.06249,04.02065,02.08418,03.09896,-00.02169000000000003,064.00,00.00935973558746965,00.00064,038.042404192405656,061.057595807594344,041.059908657083468,058.040091342916532,-03.0175044646778119
fim_4_5_2_0,dev,crar1,action,01090004,usgs,GMS,False,0842.00,04173.00,051966.00,011333.00,00.09265889861521796,00.09282542689853904,00.06932346464399315,00.06308293291148751,00.08188287995375889,00.02691216303366439,00.00691581108829568,00.00159445538554764,00.00743333511462619,00.08248225277792933,00.07825259850787569,00.00747116804614231,00.09840554461445236,01.02735934291581108,012.0522533624045456,00.07308783696633562,00.01782211552536815,00.02203264741555882,00.0925666648853738,00.09308418891170432,068314.00,016.0589571683695876,06.0108557543109757,076.006932693152208,01.0232543841672278,0100.00,01.01333,00.04173,05.01966,00.00842,06.08314,01.05506,05.02808,01.02175,05.06139,00.03330999999999999,064.00,00.00935973558746965,00.00064,022.069812922680564,077.030187077319437,017.0822115525368154,082.017788447463185,04.0876013701437479
fim_4_5_2_0,dev,crar1,minor,01090004,usgs,GMS,False,01296.00,03898.00,049776.00,013344.00,00.09239687326170332,00.09194258965937044,00.07198187506742907,00.06500698258907645,00.08370867574179788,00.02260758612689943,00.00885245901639344,00.0025375939849624,00.00726236166486567,00.08398885768552085,00.07924146634930807,00.00954570245190255,00.0974624060150376,01.01777322404371584,012.055067499936916,00.07739241387310056,00.02143045349415932,00.02201337311126851,00.09273763833513432,00.09114754098360656,068314.00,019.0533331381561613,05.0706004625698978,072.08635418801417,01.0897122112597711,0100.00,01.03344,00.03898,04.09776,00.01296,06.08314,01.07242,05.01072,01.0464,05.03674,00.02602,064.00,00.00935973558746965,00.00064,025.02393360072606,074.076066399273941,021.0430453494159323,078.056954650584068,03.08088825131012713
fim_4_5_2_0,dev,,500yr,11090202,ble,GMS,False,2021023.0,1016440.0,36810191.0,7261870.0,0.9355233773960442,0.8777071024812052,0.7050815814965882,0.6495814059631918,0.8270355965932402,0.1227835149927944,0.2177147792180735,0.0520463511648129,0.0268710158195161,0.8283921122556681,0.7895221596733538,0.223726538575378,0.9479536488351872,0.8917812582779959,29.11260318687917,0.8772164850072056,0.197049178420907,0.1563572605571644,0.973128984180484,0.7822852207819265,47109524.0,15.414866004589644,2.15761042289453,78.13747173501477,4.290051837501054,9.0,65.35683,9.14796,331.291719,18.189207,423.985716,74.50479,349.480926,83.546037,340.439679,-9.041246999999998,53284.0,0.1129788540156472,0.479556,17.572476427484172,82.42752357251582,19.7049178420907,80.2950821579093,-2.1324414146065287
fim_4_5_2_0,dev,,100yr,11090202,ble,GMS,False,2088400.0,945185.0,37829136.0,6246803.0,0.935605696206992,0.8625358212553799,0.6731187316737188,0.6211755861872101,0.8046275723664377,0.1314219378564035,0.2505517862012479,0.0523178584970775,0.0243765712879923,0.8068173753820005,0.7693160121654486,0.2568119817827866,0.9476821415029224,0.8628449721020591,30.74461149373873,0.8685780621435965,0.1769324393937837,0.1527934687473412,0.9756234287120076,0.7494482137987521,47109524.0,13.26017006667272,2.006356506595142,80.30039955402648,4.433073872705655,9.0,56.221227,8.506665,340.462224,18.7956,423.985716,64.727892,359.257824,75.016827,348.968889,-10.28893500000001,53284.0,0.1129788540156472,0.479556,15.26652657326786,84.73347342673215,17.693243939378373,82.30675606062162,-2.4267173661105126
fim_4_5_2_0,dev,crar1,moderate,01090004,nws,GMS,False,02672.00,03179.00,043725.00,018738.00,00.0914351377462892,00.09037108849558296,00.07620480702753264,00.06698097346413833,00.08649571860502688,00.01450472236163708,00.01248014946286781,00.00575899303834299,00.00677767354596622,00.08650164114362305,00.08023765452574488,00.01338751127287255,00.094241006961657,01.00236805231200374,012.0912963414890369,00.08549527763836291,00.03134057440641742,00.02177007611221192,00.09322232645403375,00.08751985053713218,068314.00,027.0429223877975232,04.0653511725268612,064.000591386831395,03.09113505284421937,0100.00,01.08738,00.03179,04.03725,00.02672,06.08314,02.01917,04.06397,02.0141,04.06904,00.00506999999999999,064.00,00.00935973558746965,00.00064,032.008273560324385,067.091726439675617,031.0340574406417428,068.065942559358258,00.07421611968264195
fim_4_5_2_0,dev,crar1,major,01090004,nws,GMS,False,04563.00,02461.00,037435.00,023855.00,00.0897180665749334,00.08888736859475992,00.07725314938955277,00.06475980340352219,00.08716702598019512,00.00935172518619851,00.01605672461116194,00.01086480308586123,00.00616853819931822,00.08723137678735795,00.0787727017799189,00.01711230359521615,00.08913519691413877,00.09260327961151384,013.0608293030934917,00.09064827481380148,00.04159908657083467,00.02132677267920797,00.09383146180068176,00.08394327538883806,068314.00,034.09196357993969,03.0602482653628832,054.079843077553649,06.0679450771437772,0100.00,02.03855,00.02461,03.07435,00.04563,06.08314,02.06316,04.01998,02.08418,03.09896,-00.02101999999999999,064.00,00.00935973558746965,00.00064,038.052211845302573,061.047788154697427,041.059908657083468,058.040091342916532,-03.00769681178089456
fim_4_5_2_0,dev,crar1,action,01090004,nws,GMS,False,0831.00,04230.00,051909.00,011344.00,00.09259156249085106,00.09281983458994948,00.06914964949710454,00.06286699310128482,00.08176150491909618,00.0271606523693335,00.00682546201232032,00.00157565415244596,00.00753486880778068,00.08238187035271377,00.07812169438774694,00.00738166044249842,00.09842434584755404,01.02791786447638605,012.0365781059315246,00.0728393476306665,00.01782211552536815,00.02214103227429254,00.09246513119221932,00.09317453798767968,068314.00,016.0605673800392307,06.0191995784173083,075.098588869045876,01.02164417249758468,0100.00,01.01344,00.0423,05.01909,00.00831,06.08314,01.05574,05.0274,01.02175,05.06139,00.03398999999999998,064.00,00.00935973558746965,00.00064,022.0797669584565387,077.02023304154346,017.0822115525368154,082.017788447463185,04.0975554059197233
fim_4_5_2_0,dev,crar1,minor,01090004,nws,GMS,False,01276.00,03952.00,049722.00,013364.00,00.09234710308282345,00.09196059198508868,00.07188037865748709,00.06486819481796419,00.08364000500688447,00.02282282282282282,00.00871584699453551,00.00250205890427075,00.0073629690352871,00.0839348154818445,00.07916327645174456,00.00940859924348778,00.09749794109572923,01.01827868852459016,012.0397736914006328,00.07717717717717718,00.02143045349415932,00.02211879463503747,00.0926370309647129,00.09128415300546447,068314.00,019.0562607957373302,05.0785051380390549,072.078449512545014,01.08678455367860176,0100.00,01.03364,00.03952,04.09722,00.01276,06.08314,01.07316,05.00998,01.0464,05.03674,00.02676,064.00,00.00935973558746965,00.00064,025.034765933776385,074.065234066223616,021.0430453494159323,078.056954650584068,03.0917205843604531
fim_4_5_2_0,archive,wstr1,moderate,01090005,usgs,GMS,False,01225.00,01501.00,09653.00,07533.00,00.08630976295701085,00.08627786627154239,00.07342820937713227,00.05663053372234311,00.0846785071942446,00.0166150099623644,00.01398721169216716,00.01126126126126126,00.01345705576474807,00.08468869757032458,00.07233940817499548,00.01616216297673599,00.08873873873873874,01.0031514044302352,06.0391649838677998,00.0833849900376356,00.04398352752109281,00.02834329545987892,00.08654294423525193,00.08601278830783284,019912.00,037.083145841703495,07.0538167938931298,048.0478304539975895,06.0152069104057854,0100.00,00.07533,00.01501,00.09653,00.01225,01.09912,00.09034,01.00878,00.08758,01.01154,00.00275999999999999,00.00,00.00,00.00,045.0369626355966254,054.063037364403375,043.098352752109281,056.001647247890719,01.03860988348734438
fim_4_5_2_0,archive,wstr1,major,01090005,usgs,GMS,False,02179.00,0754.00,06810.00,010169.00,00.08527018883085576,00.08619257340064277,00.07761410471683713,00.05365290101993638,00.08739633019638177,00.00690286551313741,00.01764658244250081,00.02424073868060963,00.00996827075621364,00.0875606486374059,00.07059872745767478,00.01960040375845464,00.07575926131939037,00.08845966958211856,08.0261555045158142,00.0930971344868626,00.06201285656890317,00.02581116693267131,00.09003172924378635,00.08235341755749919,019912.00,051.00697067095219,03.0786661309762957,034.020048212133387,010.0943149859381275,0100.00,01.00169,00.00754,00.0681,00.02179,01.09912,01.00923,00.08989,01.02348,00.07564,-00.01424999999999998,00.00,00.00,00.00,054.085636801928485,045.014363198071515,062.0012856568903175,037.0987143431096825,-07.0156488549618324
fim_4_5_2_0,archive,wstr1,action,01090005,usgs,GMS,False,0670.00,01441.00,014647.00,03154.00,00.08939835275210928,00.08676104646203204,00.05990503323836657,00.0518317317058078,00.07492576315476898,00.03136017410228509,00.01752092050209205,00.004374224717634,00.00895698657384385,00.07524194081056249,00.06873820991110222,00.01924466232249995,00.095625775282366,01.0201621338912134,09.0208351359905226,00.06863982589771491,00.01920449979911611,00.02478605577472524,00.09104301342615614,00.08247907949790795,019912.00,015.0839694656488549,07.0236842105263158,073.055865809562073,03.0364805142627561,0100.00,00.03154,00.01441,01.04647,00.0067,01.09912,00.04595,01.05317,00.03824,01.06088,00.00771,00.00,00.00,00.00,023.0076536761751708,076.092346323824829,019.020449979911611,080.079550020088388,03.08720369626355975
fim_4_5_2_0,archive,wstr1,minor,01090005,usgs,GMS,False,0634.00,01697.00,012819.00,04762.00,00.08829349136199277,00.08828000380347669,00.06713661356266741,00.0563700503723093,00.08033741037536904,00.02627341693760644,00.01174944403261675,00.00471270348621125,00.01169054836042987,00.0806623328749652,00.07268908546224723,00.01330485447987087,00.09528729651378874,01.0196997776130467,07.0548880792118652,00.07372658306239356,00.02709923664122137,00.02668429492006297,00.08830945163957012,00.08825055596738325,019912.00,023.0915226998794697,08.0522498995580555,064.037826436319807,03.01840096424266773,0100.00,00.04762,00.01697,01.02819,00.00634,01.09912,00.06459,01.03453,00.05396,01.04516,00.01063,00.00,00.00,00.00,032.043772599437525,067.056227400562474,027.009923664122137,072.090076335877863,05.0338489353153875
